project_type,project_type_citation,national_total_job_cost,national_total_job_cost_citation,regional_city,regional_city_citation,regional_total_job_cost,regional_total_job_cost_citation
Garage Door Replacement,https://www.jlconline.com/cost-vs-value/2025/east-south-central/birmingham-al/,4672,https://www.jlconline.com/cost-vs-value/2025/national/,"Birmingham, Alabama",https://www.jlconline.com/cost-vs-value/2025/east-south-central/birmingham-al/,4793,https://www.jlconline.com/cost-vs-value/2025/east-south-central/birmingham-al/
Garage Door Replacement,https://www.jlconline.com/cost-vs-value/2025/east-south-central/birmingham-al/,4672,https://www.jlconline.com/cost-vs-value/2025/national/,East South Central,https://www.jlconline.com/cost-vs-value/2025/east-south-central/birmingham-al/,4288,https://www.jlconline.com/cost-vs-value/2025/east-south-central/birmingham-al/
Manufactured Stone Veneer,https://www.jlconline.com/cost-vs-value/2025/east-south-central/birmingham-al/,11702,https://www.jlconline.com/cost-vs-value/2025/national/,"Birmingham, Alabama",https://www.jlconline.com/cost-vs-value/2025/east-south-central/birmingham-al/,11041,https://www.jlconline.com/cost-vs-value/2025/east-south-central/birmingham-al/
Manufactured Stone Veneer,https://www.jlconline.com/cost-vs-value/2025/east-south-central/birmingham-al/,11702,https://www.jlconline.com/cost-vs-value/2025/national/,East South Central,https://www.jlconline.com/cost-vs-value/2025/east-south-central/birmingham-al/,10858,https://www.jlconline.com/cost-vs-value/2025/east-south-central/birmingham-al/
Entry Door Replacement | Steel,https://www.jlconline.com/cost-vs-value/2025/east-south-central/birmingham-al/,2435,https://www.jlconline.com/cost-vs-value/2025/national/,"Birmingham, Alabama",https://www.jlconline.com/cost-vs-value/2025/east-south-central/birmingham-al/,2264,https://www.jlconline.com/cost-vs-value/2025/east-south-central/birmingham-al/
Entry Door Replacement | Steel,https://www.jlconline.com/cost-vs-value/2025/east-south-central/birmingham-al/,2435,https://www.jlconline.com/cost-vs-value/2025/national/,East South Central,https://www.jlconline.com/cost-vs-value/2025/east-south-central/birmingham-al/,2319,https://www.jlconline.com/cost-vs-value/2025/east-south-central/birmingham-al/
Siding Replacement | Vinyl,https://www.jlconline.com/cost-vs-value/2025/east-south-central/birmingham-al/,17950,https://www.jlconline.com/cost-vs-value/2025/national/,"Birmingham, Alabama",https://www.jlconline.com/cost-vs-value/2025/east-south-central/birmingham-al/,13704,https://www.jlconline.com/cost-vs-value/2025/east-south-central/birmingham-al/
Siding Replacement | Vinyl,https://www.jlconline.com/cost-vs-value/2025/east-south-central/birmingham-al/,17950,https://www.jlconline.com/cost-vs-value/2025/national/,East South Central,https://www.jlconline.com/cost-vs-value/2025/east-south-central/birmingham-al/,14596,https://www.jlconline.com/cost-vs-value/2025/east-south-central/birmingham-al/
Minor Kitchen Remodel | Midrange,https://www.jlconline.com/cost-vs-value/2025/east-south-central/birmingham-al/,28458,https://www.jlconline.com/cost-vs-value/2025/national/,"Birmingham, Alabama",https://www.jlconline.com/cost-vs-value/2025/east-south-central/birmingham-al/,26184,https://www.jlconline.com/cost-vs-value/2025/east-south-central/birmingham-al/
Minor Kitchen Remodel | Midrange,https://www.jlconline.com/cost-vs-value/2025/east-south-central/birmingham-al/,28458,https://www.jlconline.com/cost-vs-value/2025/national/,East South Central,https://www.jlconline.com/cost-vs-value/2025/east-south-central/birmingham-al/,27034,https://www.jlconline.com/cost-vs-value/2025/east-south-central/birmingham-al/
